ASV_ID	GB81	GB82	GB83	GB84	GB85	GB86	PBS81	PBS82	PBS83	PBS84	PBS85	PBS86	PE81	PE82	PE83	PE84	PE85	PE86
ASV186	11855	8716	5478	148329	20884	95438	714993	54812	300364	859043	328942	225674	10962	120590	48248	96288	354562	107414
ASV187	0	1317	0	0	390	0	0	34094	93519	15067	17566	16199	55900	608735	121773	212014	62162	7780
ASV188	955	1484	0	0	0	0	7892014	1533818	1588389	189630	487174	1873028	14929	0	0	0	32284	0
ASV189	0	0	0	0	0	0	87174	57689	77277	73550	33785	33037	4474	0	0	0	0	0
ASV190	0	742	0	1936	0	11320	0	0	0	8488	0	0	0	0	0	0	0	0
ASV191	0	0	0	0	0	606	0	21822	17483	0	48641	31091	3266	0	0	0	0	0
ASV192	0	0	0	763	216	3784	0	0	0	0	0	6935	0	0	0	0	0	17346
ASV193	0	0	0	0	0	0	0	0	0	0	0	0	10930	2975	33254	0	322383	0
ASV194	0	0	0	1033	439	1887	0	0	0	0	0	0	51473	86453	51431	34236	68978	27933
ASV195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV197	0	1298	3760	0	1976	6468	71398	42688	78324	36320	96598	38326	0	0	0	0	0	0
ASV198	0	0	0	0	0	0	27858	0	0	0	0	0	17704	0	8461	0	14113	0
ASV199	0	0	848	0	669	1231	0	0	0	0	0	0	16104	23914	41877	0	10209	0
ASV201	1910	0	1392	387	586	4447	253513	31011	309566	133175	36843	84604	467	3471	1338	11464	0	7726
ASV202	0	9273	14202	0	0	0	0	0	0	0	0	0	228598	442351	560981	383981	203758	108313
ASV203	1560	0	796	0	628	0	123430	82950	74594	20303	181385	71326	40432	29519	42045	19070	64265	16343
ASV204	0	0	0	0	0	0	0	40774	0	0	0	0	7931	0	17614	0	43662	25184
ASV205	0	0	0	0	0	0	0	0	0	0	0	0	18194	7438	0	0	69860	0
ASV206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV208	1949	1640	2557	0	1793	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV209	0	832	0	562	464	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV211	491	3116	7519	2168	878	12290	11796	37213	630507	258824	48048	125616	20340	311828	160892	57479	182270	189882
ASV215	2603	1286	2535	4029	2031	2103	325676	173167	316917	965749	52009	265846	73620	53317	71143	74892	97894	64799
