#OTU ID	GB51	GB52	GB53	GB54	GB55	GB56
ASV500	0	371	0	0	0	0
ASV501	12736	11356	12155	14397	7093	11242
ASV502	1744	431	0	0	0	0
ASV503	2830	0	0	0	0	1540
ASV504	0	0	0	0	0	0
ASV505	0	0	0	0	0	0
ASV506	8490	9368	3036	7217	11748	2278
ASV507	0	0	0	0	0	0
ASV508	0	0	0	0	0	0
ASV509	0	0	1776	0	0	770
ASV510	0	0	0	0	0	0
ASV511	0	0	0	0	0	0
ASV512	20889	14455	13756	9141	12667	15069
ASV515	159	0	80	3157	78	78
ASV516	0	0	0	0	0	0
ASV517	5896	3094	2170	6199	7324	6352
ASV518	0	0	0	0	0	0
ASV519	0	0	0	0	0	0
ASV520	0	273	443	4943	4476	721
ASV521	0	485	526	2399	0	0
ASV522	2326	0	2335	8401	0	14579
ASV523	0	0	0	0	0	0
ASV524	2134	7487	7442	2514	11015	3410
ASV525	0	0	0	0	0	0
ASV526	0	0	0	0	0	0
ASV527	0	0	0	0	0	0
ASV528	0	0	0	0	0	0
ASV529	4165	6628	2483	3443	6127	3442
ASV530	1933	1641	970	2213	0	552
ASV531	3014	1335	2762	19729	2313	3337
ASV532	6160	0	0	15669	3884	1437
ASV533	0	0	0	0	0	0
ASV534	1615	249	0	0	0	527
ASV535	0	0	0	0	0	0
ASV536	0	0	0	0	0	0
ASV537	807	679	442	373	1079	862
ASV538	472	0	1707	3557	0	1388
ASV539	2362	16886	18309	4038	53934	0
ASV540	718	3490	0	2374	4753	1406
ASV541	1416	0	356	2522	1042	0
ASV542	0	508	0	744	0	1074
ASV543	590	182	0	800	386	0
ASV544	2326	5922	584	2248	13459	456
ASV546	0	0	0	0	0	0
ASV547	0	0	0	0	0	0
ASV548	0	0	5919	0	9638	0
ASV549	0	0	0	0	0	0
ASV550	1257	665	0	0	0	0
ASV551	1214	1546	0	0	0	0
ASV552	0	910	1184	22996	0	578
ASV553	1114	1126	407	1649	1292	695
ASV554	0	0	0	0	0	0
ASV555	1141	720	260	0	2696	1117
ASV556	0	144	208	1266	305	0
ASV557	1279	431	467	3786	1255	456
ASV558	1715	265	646	800	1332	1470
ASV559	567	0	0	0	1483	1111
ASV560	0	665	3964	10226	2816	1934
ASV561	1309	624	717	767	6924	1127
ASV562	0	0	0	0	0	0
ASV563	0	0	0	0	0	0
ASV564	159	0	0	162	0	234
ASV565	3051	2493	901	3105	5633	1231
ASV566	0	0	0	0	0	0
ASV567	0	0	2101	355	0	1367
ASV568	0	0	0	0	0	0
ASV569	0	0	0	648	0	0
ASV570	0	0	0	0	0	0
ASV571	1055	266	481	0	0	939
ASV573	0	0	0	0	0	0
ASV574	3991	14226	0	0	8023	3713
ASV576	0	0	0	0	0	0
ASV577	917	485	1447	2000	0	2310
ASV578	1047	538	233	828	799	2734
ASV579	18128	2327	10632	731	880	352
ASV580	0	0	0	0	3021	0
ASV581	0	0	0	0	0	0
ASV582	2091	774	1931	2468	2215	1802
ASV583	0	0	0	0	0	0
ASV584	0	0	0	0	0	0
ASV585	0	0	0	0	1350	0
ASV586	0	910	0	0	0	16362
ASV588	1738	0	403	1360	2229	5107
ASV589	359	0	1081	1826	3345	1231
ASV590	0	0	0	3850	0	0
ASV592	0	0	0	5985	0	0
ASV593	841	584	0	2994	0	1853
ASV595	0	545	887	0	0	0
ASV596	0	0	0	0	0	0
ASV597	0	0	0	762	367	1100
ASV598	0	0	0	0	0	0
ASV599	3591	1050	474	8941	4448	2221
ASV600	0	0	0	0	0	0
ASV601	8423	371	0	5849	262	655
ASV602	0	0	0	0	0	0
ASV604	0	0	0	2400	386	0
ASV605	18208	14876	9247	9480	22374	8707
ASV606	0	0	350	0	0	0
ASV608	0	0	0	0	0	0
ASV609	0	0	0	0	0	0
ASV610	0	0	0	0	156	0
ASV611	0	0	160	0	0	1247
ASV613	0	364	790	0	1156	0
ASV614	2883	0	1841	0	0	2567
ASV616	0	0	541	0	0	3516
ASV617	0	0	0	0	0	0
ASV618	0	0	0	0	0	0
